Node1,Node2,Latitude1,Longitude1,Latitude2,Longitude2
Footprint Log Homes,Billy Ryan Memorial Fund,47.54215,-116.7657518,47.493918,-116.713922
Wilma's Accounting Services,Footprint Log Homes,47.4898416,-116.7186519,47.54215,-116.7657518
Footprint Log Homes,Thompson Lake Access,47.54215,-116.7657518,47.48574319999999,-116.7246429
Carlin Bay Airport-Id43,Thompson Lake Access,47.5514483,-116.763398,47.48574319999999,-116.7246429
Jackson Hewitt Tax Service,JAM IMPORTS,47.645734,-117.55837,47.6639198,-117.5655212
Walmart Vision & Glasses,JAM IMPORTS,47.6456703,-117.558347,47.6639198,-117.5655212
Jackson Hewitt Tax Service,92nd Medical Group,47.645734,-117.55837,47.6275793,-117.6703428
Walmart Vision & Glasses,Balfour Beatty Communities,47.6456703,-117.558347,47.6293914,-117.6699884
Jackson Hewitt Tax Service,Fairchild AFB Pharmacy,47.645734,-117.55837,47.6276458,-117.6700356
Walmart Vision & Glasses,92nd Medical Group,47.6456703,-117.558347,47.6275793,-117.6703428
Walmart Vision & Glasses,Fairchild AFB Pharmacy,47.6456703,-117.558347,47.6276458,-117.6700356
Jackson Hewitt Tax Service,Balfour Beatty Communities,47.645734,-117.55837,47.6293914,-117.6699884
Military & Family Readiness Center,Jackson Hewitt Tax Service,47.6349881,-117.6503493,47.645734,-117.55837
Jackson Hewitt Tax Service,US Army Corps of Engineers,47.645734,-117.55837,47.6353721,-117.6522597
Military & Family Readiness Center,Walmart Vision & Glasses,47.6349881,-117.6503493,47.6456703,-117.558347
Jackson Hewitt Tax Service,Fairchild AFB Refill Pharmacy,47.645734,-117.55837,47.639124,-117.65234
Information Tickets & Travel,Jackson Hewitt Tax Service,47.6365549,-117.6531013,47.645734,-117.55837
Walmart Vision & Glasses,Fairchild AFB Refill Pharmacy,47.6456703,-117.558347,47.639124,-117.65234
Walmart Vision & Glasses,US Army Corps of Engineers,47.6456703,-117.558347,47.6353721,-117.6522597
Walmart Vision & Glasses,Information Tickets & Travel,47.6456703,-117.558347,47.6365549,-117.6531013
JAM IMPORTS,92nd Medical Group,47.6639198,-117.5655212,47.6275793,-117.6703428
Fairchild AFB Pharmacy,JAM IMPORTS,47.6276458,-117.6700356,47.6639198,-117.5655212
Balfour Beatty Communities,JAM IMPORTS,47.6293914,-117.6699884,47.6639198,-117.5655212
Fairchild AFB Refill Pharmacy,JAM IMPORTS,47.639124,-117.65234,47.6639198,-117.5655212
US Army Corps of Engineers,JAM IMPORTS,47.6353721,-117.6522597,47.6639198,-117.5655212
Information Tickets & Travel,JAM IMPORTS,47.6365549,-117.6531013,47.6639198,-117.5655212
Military & Family Readiness Center,JAM IMPORTS,47.6349881,-117.6503493,47.6639198,-117.5655212
Ferguson Films,Julia's Jungle Dog & Cat Board,47.6248645,-117.2677765,47.6582204,-117.2347996
Ferguson Films,Sanctuary Restoration Cottage,47.6248645,-117.2677765,47.5752627,-117.3204147
Ferguson Films,Jimmy John's,47.6248645,-117.2677765,47.7687646,-117.403448
Ferguson Films,PetSmart,47.6248645,-117.2677765,47.7483393,-117.3989598
Ferguson Films,Fred Meyer Pharmacy,47.6248645,-117.2677765,47.7674423,-117.4023365
"Nicholas P. Wissink, OD",Ferguson Films,47.741283,-117.4021575,47.6248645,-117.2677765
Ferguson Films,Fairfield Inn & Suites by Marriott Spokane Downtown,47.6248645,-117.2677765,47.6607845,-117.4098711
Ferguson Films,Torrid,47.6248645,-117.2677765,47.703049,-117.409823
Ferguson Films,Spokane,47.6248645,-117.2677765,47.6579711,-117.4235319
Ferguson Films,Sunset Hill,47.6248645,-117.2677765,47.6453402,-117.4617763
Ferguson Films,Fine Art Photography,47.6248645,-117.2677765,47.61074929999999,-117.3306643
Ferguson Films,Northwest Co,47.6248645,-117.2677765,47.58251799999999,-117.480941
Ferguson Films,Wingate by Wyndham Spokane Airport,47.6248645,-117.2677765,47.6295513,-117.5359122
Ferguson Films,Chewack Wildfire,47.6248645,-117.2677765,47.5864815,-117.480922
Intergis Contracting Inc,Ferguson Films,47.5888029,-117.3272224,47.6248645,-117.2677765
Ferguson Films,Inland Empire Paper Company,47.6248645,-117.2677765,47.68813000000001,-117.2791994
Paradise Pet Resort,Ferguson Films,47.680231,-117.2509636,47.6248645,-117.2677765
Ferguson Films,Arbor Crest Wine Cellars,47.6248645,-117.2677765,47.6983073,-117.2495377
Community/Fitness Center,Ferguson Films,47.5942949,-117.4885983,47.6248645,-117.2677765
Chewack Wildfire,Wingate by Wyndham Spokane Airport,47.5864815,-117.480922,47.6295513,-117.5359122
Sanctuary Restoration Cottage,Wingate by Wyndham Spokane Airport,47.5752627,-117.3204147,47.6295513,-117.5359122
Intergis Contracting Inc,Wingate by Wyndham Spokane Airport,47.5888029,-117.3272224,47.6295513,-117.5359122
Julia's Jungle Dog & Cat Board,Wingate by Wyndham Spokane Airport,47.6582204,-117.2347996,47.6295513,-117.5359122
"Nicholas P. Wissink, OD",Wingate by Wyndham Spokane Airport,47.741283,-117.4021575,47.6295513,-117.5359122
Inland Empire Paper Company,Wingate by Wyndham Spokane Airport,47.68813000000001,-117.2791994,47.6295513,-117.5359122
Sunset Hill,Wingate by Wyndham Spokane Airport,47.6453402,-117.4617763,47.6295513,-117.5359122
Paradise Pet Resort,Wingate by Wyndham Spokane Airport,47.680231,-117.2509636,47.6295513,-117.5359122
Community/Fitness Center,Wingate by Wyndham Spokane Airport,47.5942949,-117.4885983,47.6295513,-117.5359122
Community/Fitness Center,Chewack Wildfire,47.5942949,-117.4885983,47.5864815,-117.480922
Community/Fitness Center,Northwest Co,47.5942949,-117.4885983,47.58251799999999,-117.480941
Chewack Wildfire,PetSmart,47.5864815,-117.480922,47.7483393,-117.3989598
Chewack Wildfire,Fred Meyer Pharmacy,47.5864815,-117.480922,47.7674423,-117.4023365
Chewack Wildfire,Jimmy John's,47.5864815,-117.480922,47.7687646,-117.403448
Sunset Hill,Chewack Wildfire,47.6453402,-117.4617763,47.5864815,-117.480922
"Nicholas P. Wissink, OD",Chewack Wildfire,47.741283,-117.4021575,47.5864815,-117.480922
Chewack Wildfire,Fairfield Inn & Suites by Marriott Spokane Downtown,47.5864815,-117.480922,47.6607845,-117.4098711
Sunset Hill,Northwest Co,47.6453402,-117.4617763,47.58251799999999,-117.480941
Chewack Wildfire,Torrid,47.5864815,-117.480922,47.703049,-117.409823
Chewack Wildfire,Spokane,47.5864815,-117.480922,47.6579711,-117.4235319
Chewack Wildfire,Arbor Crest Wine Cellars,47.5864815,-117.480922,47.6983073,-117.2495377
Julia's Jungle Dog & Cat Board,Chewack Wildfire,47.6582204,-117.2347996,47.5864815,-117.480922
Inland Empire Paper Company,Chewack Wildfire,47.68813000000001,-117.2791994,47.5864815,-117.480922
Paradise Pet Resort,Chewack Wildfire,47.680231,-117.2509636,47.5864815,-117.480922
Chewack Wildfire,Fine Art Photography,47.5864815,-117.480922,47.61074929999999,-117.3306643
Intergis Contracting Inc,Chewack Wildfire,47.5888029,-117.3272224,47.5864815,-117.480922
Chewack Wildfire,Sanctuary Restoration Cottage,47.5864815,-117.480922,47.5752627,-117.3204147
Chewack Wildfire,Northwest Co,47.5864815,-117.480922,47.58251799999999,-117.480941
Inland Empire Paper Company,Northwest Co,47.68813000000001,-117.2791994,47.58251799999999,-117.480941
Sanctuary Restoration Cottage,Northwest Co,47.5752627,-117.3204147,47.58251799999999,-117.480941
Julia's Jungle Dog & Cat Board,Northwest Co,47.6582204,-117.2347996,47.58251799999999,-117.480941
"Nicholas P. Wissink, OD",Northwest Co,47.741283,-117.4021575,47.58251799999999,-117.480941
Paradise Pet Resort,Northwest Co,47.680231,-117.2509636,47.58251799999999,-117.480941
Intergis Contracting Inc,Northwest Co,47.5888029,-117.3272224,47.58251799999999,-117.480941
Community/Fitness Center,Fine Art Photography,47.5942949,-117.4885983,47.61074929999999,-117.3306643
Community/Fitness Center,Jimmy John's,47.5942949,-117.4885983,47.7687646,-117.403448
Community/Fitness Center,PetSmart,47.5942949,-117.4885983,47.7483393,-117.3989598
Community/Fitness Center,Fred Meyer Pharmacy,47.5942949,-117.4885983,47.7674423,-117.4023365
Community/Fitness Center,Sunset Hill,47.5942949,-117.4885983,47.6453402,-117.4617763
